alpha urisk trisk pvalue models
3.0 0.1302 27.2152 3.18e-157 lgbm.lrank.1500.63.0.05.0.4.min95min96min97min98min99Trisk
4.0 0.1014 18.245 3.78e-73 lgbm.lrank.1500.63.0.05.0.4.min95min96min97min98min99Trisk
5.0 0.0726 11.4345 4.38e-30 lgbm.lrank.1500.63.0.05.0.4.min95min96min97min98min99Trisk
6.0 0.0439 6.1281 9.24e-10 lgbm.lrank.1500.63.0.05.0.4.min95min96min97min98min99Trisk
7.0 0.0151 1.8964 0.0579 lgbm.lrank.1500.63.0.05.0.4.min95min96min97min98min99Trisk
8.0 -0.0136 -1.5471 0.122 lgbm.lrank.1500.63.0.05.0.4.min95min96min97min98min99Trisk
9.0 -0.0424 -4.3982 1.1e-05 lgbm.lrank.1500.63.0.05.0.4.min95min96min97min98min99Trisk
10.0 -0.0711 -6.7947 1.15e-11 lgbm.lrank.1500.63.0.05.0.4.min95min96min97min98min99Trisk
0.0 0.2164 78.9434 0.0 lgbm.lrank.1500.63.0.05.0.4.min95min96min99min107Trisk
1.0 0.1879 56.4604 0.0 lgbm.lrank.1500.63.0.05.0.4.min95min96min99min107Trisk
2.0 0.1595 39.7912 7.82e-321 lgbm.lrank.1500.63.0.05.0.4.min95min96min99min107Trisk
3.0 0.131 27.6458 5.45e-162 lgbm.lrank.1500.63.0.05.0.4.min95min96min99min107Trisk
4.0 0.1026 18.6429 3.09e-76 lgbm.lrank.1500.63.0.05.0.4.min95min96min99min107Trisk
5.0 0.0742 11.7965 6.72e-32 lgbm.lrank.1500.63.0.05.0.4.min95min96min99min107Trisk
6.0 0.0457 6.4557 1.13e-10 lgbm.lrank.1500.63.0.05.0.4.min95min96min99min107Trisk
7.0 0.0173 2.1929 0.0283 lgbm.lrank.1500.63.0.05.0.4.min95min96min99min107Trisk
8.0 -0.0111 -1.2782 0.201 lgbm.lrank.1500.63.0.05.0.4.min95min96min99min107Trisk
9.0 -0.0396 -4.1538 3.3e-05 lgbm.lrank.1500.63.0.05.0.4.min95min96min99min107Trisk
10.0 -0.068 -6.5718 5.23e-11 lgbm.lrank.1500.63.0.05.0.4.min95min96min99min107Trisk
0.0 0.2172 79.0354 0.0 lgbm.lrank.1500.63.0.05.0.4.min95Trisk
1.0 0.1884 56.3789 0.0 lgbm.lrank.1500.63.0.05.0.4.min95Trisk
2.0 0.1595 39.6325 1.77e-318 lgbm.lrank.1500.63.0.05.0.4.min95Trisk
3.0 0.1307 27.4501 8.14e-160 lgbm.lrank.1500.63.0.05.0.4.min95Trisk
4.0 0.1019 18.427 1.49e-74 lgbm.lrank.1500.63.0.05.0.4.min95Trisk
5.0 0.0731 11.5682 9.51e-31 lgbm.lrank.1500.63.0.05.0.4.min95Trisk
6.0 0.0443 6.219 5.21e-10 lgbm.lrank.1500.63.0.05.0.4.min95Trisk
7.0 0.0155 1.9498 0.0512 lgbm.lrank.1500.63.0.05.0.4.min95Trisk
8.0 -0.0134 -1.5263 0.127 lgbm.lrank.1500.63.0.05.0.4.min95Trisk
9.0 -0.0422 -4.406 1.06e-05 lgbm.lrank.1500.63.0.05.0.4.min95Trisk
10.0 -0.071 -6.8274 9.17e-12 lgbm.lrank.1500.63.0.05.0.4.min95Trisk
0.0 0.2159 78.52 0.0 lgbm.lrank.1500.63.0.05.0.4.min96Trisk
1.0 0.187 55.9436 0.0 lgbm.lrank.1500.63.0.05.0.4.min96Trisk
2.0 0.1582 39.2578 6.05e-313 lgbm.lrank.1500.63.0.05.0.4.min96Trisk
