alpha,topic,trisk,pvalue
0.0,23603,-0.9385,0.348
0.0,23605,1.3742,0.169
0.0,23606,0.2513,0.802
0.0,23607,-0.9097,0.363
0.0,23608,0.0,1.0
0.0,23609,0.9556,0.339
0.0,23610,0.5789,0.563
0.0,23611,1.7896,0.0736
0.0,23612,0.3591,0.72
0.0,23613,0.6621,0.508
0.0,23614,-0.1133,0.91
0.0,23615,1.5733,0.116
0.0,23616,2.2405,0.0251
0.0,23617,-0.294,0.769
0.0,23618,0.5496,0.583
0.0,23619,-0.4324,0.665
0.0,23620,0.0,1.0
0.0,23621,0.0,1.0
0.0,23622,0.0,1.0
0.0,23623,-0.0961,0.923
0.0,23624,2.3947,0.0167
0.0,23625,1.7754,0.0759
0.0,23627,1.7651,0.0776
0.0,23628,0.0909,0.928
0.0,23629,-0.1396,0.889
0.0,23630,0.4828,0.629
0.0,23631,-1.0907,0.275
0.0,23632,-0.4917,0.623
0.0,23633,1.6143,0.107
0.0,23634,-0.5348,0.593
0.0,23635,3.9133,0.0001
0.0,23636,0.8673,0.386
0.0,23637,0.8418,0.4
0.0,23638,0.0,1.0
0.0,23639,0.8264,0.409
0.0,23640,-0.1662,0.868
0.0,23641,1.943,0.0521
0.0,23642,-0.5694,0.569
0.0,23643,0.0,1.0
0.0,23644,0.5793,0.562
0.0,23645,0.1032,0.918
0.0,23646,-0.5278,0.598
0.0,23647,1.031,0.303
0.0,23648,0.0985,0.922
0.0,23649,2.2219,0.0263
0.0,23650,-0.1401,0.889
0.0,23651,2.1698,0.0301
0.0,23652,0.2808,0.779
0.0,23653,0.5512,0.582
0.0,23654,-0.2499,0.803
0.0,23655,0.6697,0.503
0.0,23656,-0.8594,0.39
0.0,23657,-0.908,0.364
0.0,23658,4.8289,0.0
0.0,23659,-0.1613,0.872
0.0,23660,0.563,0.573
0.0,23661,0.7712,0.441
0.0,23662,-0.1799,0.857
0.0,23663,1.8424,0.0655
0.0,23664,0.2389,0.811
0.0,23665,-0.3042,0.761
0.0,23666,-0.8121,0.417
0.0,23667,-1.1615,0.245
0.0,23668,-0.324,0.746
0.0,23669,0.5428,0.587
0.0,23670,-1.8828,0.0598
0.0,23671,0.2675,0.789
0.0,23672,0.4173,0.676
0.0,23673,0.3716,0.71
