alpha,topic,trisk,pvalue
0.0,23770,0.3401,0.734
0.0,23771,-1.0534,0.292
0.0,23772,1.825,0.068
0.0,23773,1.2337,0.217
0.0,23774,0.4246,0.671
0.0,23775,0.7532,0.451
0.0,23776,0.6659,0.505
0.0,23777,-0.687,0.492
0.0,23778,-0.2704,0.787
0.0,23779,1.7561,0.0791
0.0,23780,0.9973,0.319
0.0,23781,1.418,0.156
0.0,23782,0.6921,0.489
0.0,23783,3.2691,0.0011
0.0,23784,0.2712,0.786
0.0,23785,-0.1477,0.883
0.0,23786,0.6883,0.491
0.0,23787,0.8117,0.417
0.0,23788,1.3205,0.187
0.0,23789,1.5838,0.113
0.0,23790,0.4264,0.67
0.0,23791,1.6275,0.104
0.0,23792,0.2754,0.783
0.0,23793,-0.4501,0.653
0.0,23794,1.85,0.0644
0.0,23795,0.0772,0.938
0.0,23796,0.1701,0.865
0.0,23797,0.1009,0.92
0.0,23798,0.8542,0.393
0.0,23799,1.1473,0.251
0.0,23800,1.6262,0.104
0.0,23801,-0.7857,0.432
0.0,23802,-0.2073,0.836
0.0,23803,0.2495,0.803
0.0,23804,-0.2705,0.787
